a52dec 0.7.4-10
aalib 1.4rc5-13
accounts-qml-module 0.7-2
accountsservice 0.6.55-1
acl 2.2.53-1
acpi 1.7-2
acpid 2.0.31-1
adapta-maia-theme 3.94.0.149-2
adobe-source-code-pro-fonts 2.030ro+1.050it-5
adwaita-icon-theme 3.32.0-1
alsa-firmware 1.0.29-2
alsa-lib 1.1.9-1
alsa-plugins 1.1.9-2
alsa-utils 1.1.9-1
aom 1.0.0-1
apache 2.4.39-1
apparmor 2.13.3-4
appstream-glib 0.7.15-1
apr 1.7.0-1
apr-util 1.6.1-5
arandr 0.1.10-3
archlinux-appstream-data 20190614-1
archlinux-keyring 20190123-2
arduino 1:1.8.9-3
arduino-avr-core 1.6.23-1
arduino-builder 1.4.4-1
arduino-ctags 5.8_arduino11-3
argon2 20190702-1
aribb24 1.0.3-2
artwork-i3 20180516-1
aspell 0.60.7rc1-1
at-spi2-atk 2.32.0-1
at-spi2-core 2.32.1-1
atk 2.32-1
atkmm 2.28.0-1
atool 0.39.0-6
attica 5.59.0-1
attr 2.4.48-1
audit 2.8.5-3
autoconf 2.69-5
automake 1.16.1-1
avahi 0.7+18+g1b5f401-2
avr-binutils 2.32-1
avr-gcc 9.1.0-1
avr-libc 2.0.0-3
avrdude 1:6.3-6
awesome-terminal-fonts 1.1.0-2
b43-fwcutter 019-2
babl 0.1.66-1
bash 5.0.007-1
bashrc-manjaro 5.0.007-1
bc 1.07.1-3
bdf-unifont 12.1.01-1
betterlockscreen 3.0.1-4
binutils 2.32-2
bison 3.3.2-1
blas 3.8.0-2
blueman 2.1-1
bluez 5.50-6
bluez-libs 5.50-6
bluez-utils 5.50-6
bmenu 0.5-3
boost-libs 1.69.0-2
brandr 0.2-3
breeze-icons 5.59.0-1
brotli 1.0.7-1
btrfs-progs 5.1.1-1
bubblewrap 0.3.3-2.1
bzip2 1.0.7-2
c-ares 1.15.0-1
ca-certificates 20181109-1
ca-certificates-mozilla 3.44.1-1
ca-certificates-utils 20181109-1
cairo 1.16.0-2
cairomm 1.12.2-3
camlidl 1.06-4
cantarell-fonts 1:0.111-1
cdparanoia 10.2-7
celt 0.11.3-3
chromaprint 1.4.3-2
cifs-utils 6.8-2
ckbcomp 1.175-1
clipit 1:1.4.3-2
clucene 2.3.3.4-10
cmake 3.14.5-1
cmark-gfm 0.29.0.gfm.0-1
colord 1.4.4-2
compton 6.2-2
confuse 3.2.2-1
conky 1.11.4-1.1
conky-i3 20180507-1
convertlit 1.8-8
coreutils 8.31-1
cppo 1.6.5-2
cpupower 5.1-3
cracklib 2.9.7-1
crda 4.14-2
cronie 1.5.4-1
cryptsetup 2.1.0-1.1
cups 2.2.11-2
cups-filters 1.25.1-1
cups-pdf 3.0.1-4
cups-pk-helper 0.2.6-3
curl 7.65.1-3
davinci-resolve 15.3.1-1
db 5.3.28-4
dbus 1.12.16-1.2
dbus-glib 0.110-1
dconf 0.32.0-3
desktop-file-utils 0.23+4+g92af410-1
device-mapper 2.02.185-1
dfc 3.1.1-1
dhclient 4.4.1-4
dhcpcd 7.2.2-1
diffutils 3.7-1
digilent.adept.runtime 2.19.2-2
digilent.waveforms 3.10.9-1
ding-libs 0.6.1-2
dkms 2.7.1-1
dmd 1:2.087.0-1
dmenu-manjaro 4.9-2
dmidecode 3.2-1
dmraid 1.0.0.rc16.3-11
dnsmasq 2.80-3
dnssec-anchors 20190629-1
dosfstools 4.1-2
double-conversion 3.1.5-1
downgrade 6.2.1-1
doxygen 1.8.15-1
dune 1.10.0-2
dunst 1.4.0-2
e2fsprogs 1.45.2-1
ebook-tools 0.2.2-6
ecryptfs-utils 111-3
efibootmgr 16-1
efivar 37-1
egl-wayland 1.1.3-1
eglexternalplatform 1.0+3+g7c8f8e2-1
electron 5.0.6-1
elfutils 0.176-1
enchant 2.2.3-2
epdfview 0.1.8-10
etcher 1.5.51-1
exfat-utils 1.3.0-1
exiv2 0.27.1-1
exo 0.12.6-1
expac 9-1
expat 2.2.7-1
f2fs-tools 1.12.0-2
faac 1.29.9.2-1
faad2 2.8.8-1
fakeroot 1.23-1
ffmpeg 1:4.1.3-1
ffmpegthumbnailer 2.2.0-2
fftw 3.3.8-1
file 5.37-2
filesystem 2018.9-1
filezilla 3.43.0-1
findutils 4.6.0-4
firefox 67.0.4-2
flac 1.3.2-2
flex 2.6.4-2
fontconfig 2:2.13.1+12+g5f5ec56-1
foomatic-db-engine 4:4.0.13-1
freeglut 3.0.0-2
freetype2 2.10.1-1
frei0r-plugins 1.6.1-7
fribidi 1.0.5-1
fuse-common 3.6.1-1
fuse2 2.9.9-1
fuseiso 20070708-7
fzf 0.18.0-1
galculator 2.1.4-4
gamin 0.1.10-9
gapi-ocaml 0.3.12-1
gavl 1.4.0-3
gawk 4.2.1-2
gc 7.6.8-1
gcab 1.2-1
gcc 9.1.0-2
gcc-libs 9.1.0-2
gcolor2 0.4-8
gconf 3.2.6+11+g07808097-4
gcr 3.28.1-1
gd 2.2.5-2
gdbm 1.18.1-2
gdk-pixbuf2 2.38.1-1
gegl 0.4.16-1
gendesk 1.0.2-3
geoclue 2.5.3-2
geocode-glib 3.26.1-1
geoip 1.6.12-1
geoip-database 20180403-1
gettext 0.19.8.1-3
ghc-libs 8.6.5-1
ghostscript 9.27-1
giblib 1.2.4-7
giflib 5.1.9-3
gimp 2.10.12-1
git 2.22.0-1
gjs 2:1.56.2-1
gksu-polkit 0.0.3-1
glew 2.1.0-1
glib-networking 2.60.3-1
glib2 2.60.4-1
glibc 2.29-3.1
glibmm 2.60.0-1
glslang 7.11.3214-1
glu 9.0.0-5
gmp 6.1.2-2
gnome-desktop 1:3.32.2-1
gnome-keyring 1:3.31.91-1
gnome-session 3.32.0-1
gnome-themes-extra 3.28-1
gnupg 2.2.16-1
gnutls 3.6.8-1
gobject-introspection 1.60.2-1
gobject-introspection-runtime 1.60.2-1
google-chrome 75.0.3770.90-1
google-drive-ocamlfuse 0.7.4-1
gparted 1.0.0-1
gpgme 1.13.1-1
gpm 1.20.7.r27.g1fd1941-1
gptfdisk 1.0.4-1
graphene 1.8.6-1
graphite 1:1.3.13-1
grep 3.3-1
groff 1.22.4-1
grub 2.04-1
grub-theme-manjaro-dev 18.0-3
gsettings-desktop-schemas 3.32.0-2
gsfonts 20180524-2
gsl 2.5-1
gsm 1.0.18-1
gssdp 1.2.1-1
gssproxy 0.8.2-1
gst-libav 1.16.0-1
gst-plugins-bad 1.16.0-2
gst-plugins-base 1.16.0-3
gst-plugins-base-libs 1.16.0-3
gst-plugins-good 1.16.0-1
gst-plugins-ugly 1.16.0-1
gstreamer 1.16.0-2
gstreamer0.10 0.10.36-17
gstreamer0.10-base 0.10.36-11
gtk-engine-murrine 0.98.2-3
gtk-engines 2.21.0-4
gtk-update-icon-cache 1:3.24.10-1
gtk2 2.24.32-1
gtk3-classic 3.24.8-1
gtkmm 1:2.24.5-3
gtkmm3 3.24.1-1
gtksourceview-pkgbuild 4-2
gtksourceview2 2.10.5-4
gtksourceview3 3.24.11-1
gtkspell 2.0.16-7
gufw 18.10.0-1
guile 2.2.5-1
gulp 4.0.2-1
gupnp 1.2.1-1
gupnp-igd 0.2.5+3+gedd78a6-2
gutenprint 5.3.1-2
gvfs 1.40.1-2
gvfs-afc 1.40.1-2
gvfs-gphoto2 1.40.1-2
gvfs-mtp 1.40.1-2
gvfs-smb 1.40.1-2
gzip 1.10-1
harfbuzz 2.5.3-1
harfbuzz-icu 2.5.3-1
haskell-aeson 1.4.4.0-2
haskell-aeson-pretty 0.8.7-77
haskell-ansi-terminal 0.9.1-2
haskell-asn1-encoding 0.9.5-94
haskell-asn1-parse 0.9.4-105
haskell-asn1-types 0.3.3-2
haskell-async 2.2.2-1
haskell-attoparsec 0.13.2.2-55
haskell-base-compat 0.10.5-5
haskell-base-orphans 0.8.1-13
haskell-base64-bytestring 1.0.0.2-11
haskell-basement 0.0.10-3
haskell-bitarray 0.0.1.1-12
haskell-blaze-builder 0.4.1.0-8
haskell-blaze-html 0.9.1.1-28
haskell-blaze-markup 0.8.2.2-22
haskell-byteable 0.1.1-14
haskell-case-insensitive 1.2.1.0-1
haskell-cereal 0.5.8.1-1
haskell-cmark-gfm 0.2.0-2
haskell-cmdargs 0.10.20-8
haskell-colour 2.3.5-6
haskell-connection 0.3.0-10
haskell-cookie 0.4.4-8
haskell-cryptonite 0.26-6
haskell-data-default 0.7.1.1-27
haskell-data-default-class 0.1.2.0-13
haskell-data-default-instances-containers 0.0.1-25
haskell-data-default-instances-dlist 0.0.1-40
haskell-data-default-instances-old-locale 0.0.1-25
haskell-digest 0.0.1.2-14
haskell-dlist 0.8.0.6-7
haskell-doctemplates 0.2.2.1-82
haskell-erf 2.0.0.0-13
haskell-exceptions 0.10.2-7
haskell-glob 0.10.0-14
haskell-haddock-library 1.7.0-52
haskell-hashable 1.2.7.0-8
haskell-hourglass 0.2.12-24
haskell-hslua 1.0.3.1-8
haskell-hslua-module-system 0.2.1-2
haskell-hslua-module-text 0.2.1-11
haskell-hsyaml 0.1.2.0-1
haskell-http 4000.3.14-3
haskell-http-client 0.6.4-14
haskell-http-client-tls 0.3.5.3-125
haskell-http-types 0.12.3-18
haskell-hxt 9.3.1.16-16
haskell-hxt-charproperties 9.2.0.1-12
haskell-hxt-regex-xmlschema 9.2.0.3-16
haskell-hxt-unicode 9.0.2.4-12
haskell-integer-logarithms 1.0.3-2
haskell-ipynb 0.1-47
haskell-juicypixels 3.3.3.1-1
haskell-lexer 1.0.2-6
haskell-memory 0.14.18-25
haskell-mime-types 0.1.0.9-3
haskell-network 2.8.0.0-15
haskell-network-uri 2.6.1.0-18
haskell-old-locale 1.0.0.7-19
haskell-old-time 1.1.0.3-19
haskell-pandoc-types 1.17.5.4-37
haskell-pem 0.2.4-51
haskell-pretty-show 1.9.5-5
haskell-primitive 0.6.4.0-6
haskell-quickcheck 2.13.1-5
haskell-random 1.1-17
haskell-regex-base 0.93.2-38
haskell-regex-pcre 0.94.4-14
haskell-safe 0.3.17-7
haskell-scientific 0.3.6.2-13
haskell-sha 1.6.4.4-8
haskell-skylighting 0.8.1.1-1
haskell-skylighting-core 0.8.1.1-1
haskell-socks 0.6.0-7
haskell-split 0.2.3.3-16
haskell-splitmix 0.0.2-12
haskell-streaming-commons 0.2.1.1-3
haskell-syb 0.7.1-1
haskell-tagged 0.8.6-6
haskell-tagsoup 0.14.8-6
haskell-temporary 1.3-33
haskell-texmath 0.11.2.2-24
haskell-th-abstraction 0.2.11.0-3
haskell-time-compat 1.9.2.2-6
haskell-time-locale-compat 0.1.1.5-6
haskell-tls 1.4.1-75
haskell-transformers-compat 0.6.5-1
haskell-unicode-transforms 0.3.6-1
haskell-unordered-containers 0.2.10.0-11
haskell-utf8-string 1.0.1.1-13
haskell-uuid-types 1.0.3-20
haskell-vector 0.12.0.3-9
haskell-x509 1.7.5-23
haskell-x509-store 1.6.7-22
haskell-x509-system 1.6.6-90
haskell-x509-validation 1.6.11-22
haskell-xml 1.3.14-19
haskell-zip-archive 0.4.1-9
haskell-zlib 0.6.2-8
haveged 1.9.4-3
hdparm 9.58-1
hexchat 2.14.2-3
hicolor-icon-theme 0.17-1
highlight 3.52-1
hplip 1:3.19.6-1
hspell 1.4-1
htop 2.2.0-2
http-parser 2.9.2-1
hunspell 1.7.0-2
hwids 20190316-1
hwinfo 21.60-2
hyphen 2.8.8-2
i3-default-artwork 20180428-1
i3-gaps 4.16.1-1
i3-help 20180110-1
i3-scripts 20180701-1
i3-scrot 2-1
i3exit 20180529-1
i3lock-color 2.12-1
i3status-manjaro 2.12-1
iana-etc 20190531-1
icu 64.2-1
ijs 0.35-2
ilmbase 2.3.0-1
imagemagick 7.0.8.53-1
imlib2 1.5.1-1
inetutils 1.9.4-7
inkscape 0.92.4-5
intel-tbb 2019.7-1
intel-ucode 20190618-1
intltool 0.51.0-4
inxi 3.0.34-1
iproute2 5.1.0-1
iptables 1:1.8.3-1
iputils 20180629.f6aac8d-4
ipw2100-fw 1.3-9
ipw2200-fw 3.1-7
iso-codes 4.2-1
iw 5.0.1-1
jack 0.125.0-7
jansson 2.12-1
jasper 2.0.16-1
java-environment-common 3-1
java-runtime-common 3-1
jbig2dec 0.16-1
jdk-openjdk 12.0.1.u12-1
jdk8-openjdk 8.u222-2
jemalloc 1:5.2.0-1
jfsutils 1.1.15-6
jre-openjdk 12.0.1.u12-1
jre-openjdk-headless 12.0.1.u12-1
jre8-openjdk 8.u222-2
jre8-openjdk-headless 8.u222-2
js52 52.9.0-3
js60 60.7.2-1
json-c 0.13.1-2
json-glib 1.4.4-1
jsoncpp 1.8.4-2
kaccounts-integration 19.04.2-1
karchive 5.59.0-1
kauth 5.59.0-1
kbd 2.0.4-2
kbookmarks 5.59.0-1
kcmutils 5.59.0-1
kcodecs 5.59.0-1
kcompletion 5.59.0-1
kconfig 5.59.0-1
